id,name,address,city,parish,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
186,Bayou Retirement Community,407 Causeway Boulevard,Plaquemine,Iberville,LA,70785,(504) 553-2194,Intermediate Care Facility,"Intermediate Care, Continuing Care, Skilled Nursing, Adult Residential Care",38,LA-ALF-36820,Louisiana Department of Health,2024-01-24,86,False,False,True,https://www.plaquemine-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.262111,-93.583821
187,Garden Manor,3949 Bourbon Street,Brusly,West Baton Rouge,LA,70663,(318) 364-1107,Intermediate Care Facility,"Memory Care, Adult Residential Care",43,LA-ALF-59214,Louisiana Department of Health,2024-12-07,77,True,True,False,https://www.brusly-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.155154,-93.480292
188,Cypress Assisted Living,8264 Royal Street,Port Allen,West Baton Rouge,LA,70197,(985) 784-5633,Memory Care Community,"Skilled Nursing, Memory Care, Respite Care",108,LA-ALF-71014,Louisiana Department of Health,2024-09-01,95,True,False,True,https://www.portallen-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.06728,-90.412472
189,East Baton Rouge House,2369 Causeway Boulevard,Baton Rouge,East Baton Rouge,LA,70808,(225) 868-8743,Intermediate Care Facility,"Adult Residential Care, Continuing Care, Memory Care",99,LA-ALF-42712,Louisiana Department of Health,2024-06-25,89,False,False,False,https://www.batonrouge-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.464397,-91.162566
190,Zachary Gardens,7078 Carrollton Avenue,Zachary,East Baton Rouge,LA,70839,(985) 293-2103,Residential Care Home,"Independent Living, Adult Day Care, Continuing Care, Intermediate Care",77,LA-ALF-82771,Louisiana Department of Health,2024-04-22,87,True,False,False,https://www.zachary-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.546489,-90.927892
191,Cypress Memory Care,6710 Veterans Boulevard,Zachary,East Baton Rouge,LA,70895,(337) 659-9478,Skilled Nursing Facility,"Adult Residential Care, Intermediate Care, Continuing Care, Adult Day Care",86,LA-ALF-95401,Louisiana Department of Health,2024-08-01,86,True,False,False,https://www.zachary-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.630705,-89.364947
192,Baton Rouge Residence,2635 Airline Highway,Baton Rouge,East Baton Rouge,LA,70807,(504) 598-7740,Intermediate Care Facility,"Adult Day Care, Adult Residential Care",51,LA-ALF-56389,Louisiana Department of Health,2024-09-26,81,False,False,False,https://www.batonrouge-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.463789,-91.186099
193,Live Oak Estates,1610 Esplanade Avenue,Zachary,East Baton Rouge,LA,70855,(318) 945-8471,Skilled Nursing Facility,"Assisted Living, Independent Living",68,LA-ALF-43043,Louisiana Department of Health,2024-08-06,84,False,True,False,https://www.zachary-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.207932,-89.113138
194,Cajun Place,6478 Elysian Fields,Baton Rouge,East Baton Rouge,LA,70806,(318) 438-5058,Assisted Living Facility,"Assisted Living, Independent Living, Memory Care, Intermediate Care",96,LA-ALF-54060,Louisiana Department of Health,2024-02-04,80,False,True,True,https://www.batonrouge-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.470847,-91.17598
195,Live Oak House,1001 Veterans Boulevard,Zachary,East Baton Rouge,LA,70860,(318) 611-5822,Continuing Care Retirement Community,"Assisted Living, Intermediate Care, Skilled Nursing",120,LA-ALF-34078,Louisiana Department of Health,2024-10-25,100,True,False,True,https://www.zachary-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.181453,-90.124074
196,Delta Center,9130 Royal Street,Morganza,Pointe Coupee,LA,71773,(225) 322-1636,Adult Residential Care,"Respite Care, Adult Day Care, Intermediate Care, Independent Living",97,LA-ALF-40243,Louisiana Department of Health,2024-12-13,85,True,True,True,https://www.morganza-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.323413,-90.184475
197,Creole House,779 St. Charles Avenue,Livonia,Pointe Coupee,LA,70567,(985) 824-5845,Assisted Living Facility,"Intermediate Care, Adult Day Care",133,LA-ALF-94316,Louisiana Department of Health,2024-04-12,77,True,True,True,https://www.livonia-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.967932,-91.109846
198,Plantation Place,6629 River Road,New Roads,Pointe Coupee,LA,71210,(318) 733-7755,Skilled Nursing Facility,"Assisted Living, Skilled Nursing, Respite Care",67,LA-ALF-38288,Louisiana Department of Health,2024-04-20,73,False,True,True,https://www.newroads-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.494353,-91.62906
199,West Feliciana Manor,388 Causeway Boulevard,Jackson,West Feliciana,LA,71206,(985) 715-9354,Adult Residential Care,"Memory Care, Assisted Living",41,LA-ALF-81849,Louisiana Department of Health,2024-08-04,79,False,True,True,https://www.jackson-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.391009,-93.78123
200,Southern Residence,9792 Veterans Boulevard,St. Francisville,West Feliciana,LA,71380,(985) 485-6595,Continuing Care Retirement Community,"Continuing Care, Adult Day Care",54,LA-ALF-62344,Louisiana Department of Health,2024-07-08,82,True,True,True,https://www.stfrancisville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.946116,-89.361158
201,Norwood Care Center,9156 Jefferson Highway,Norwood,East Feliciana,LA,70367,(985) 513-7678,Adult Day Health Care,"Adult Day Care, Assisted Living",82,LA-ALF-93069,Louisiana Department of Health,2024-06-25,89,True,False,False,https://www.norwood-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.872435,-90.644594
202,Creole Assisted Living,7858 Jefferson Highway,Norwood,East Feliciana,LA,70517,(225) 612-8458,Intermediate Care Facility,"Adult Day Care, Assisted Living, Continuing Care",115,LA-ALF-16869,Louisiana Department of Health,2024-07-18,84,False,True,False,https://www.norwood-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.319854,-90.842112
203,Willow Assisted Living,1348 Royal Street,Denham Springs,Livingston,LA,71290,(985) 594-1241,Intermediate Care Facility,"Continuing Care, Independent Living",133,LA-ALF-75435,Louisiana Department of Health,2024-01-27,87,False,True,True,https://www.denhamsprings-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.180212,-90.897741
204,Livingston Center,9950 Broad Street,Livingston,Livingston,LA,71573,(985) 777-7739,Memory Care Community,"Adult Residential Care, Memory Care",95,LA-ALF-66911,Louisiana Department of Health,2024-12-20,92,False,True,False,https://www.livingston-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.287218,-93.590946
205,Heritage Village,7572 Royal Street,Walker,Livingston,LA,70654,(504) 700-6190,Adult Day Health Care,"Adult Day Care, Adult Residential Care, Assisted Living, Respite Care",54,LA-ALF-94289,Louisiana Department of Health,2024-07-22,76,True,False,False,https://www.walker-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.38081,-92.657074
206,Livingston Plaza,1654 West Bank Expressway,Walker,Livingston,LA,70575,(985) 221-8470,Adult Residential Care,"Independent Living, Adult Day Care, Respite Care, Skilled Nursing",82,LA-ALF-70644,Louisiana Department of Health,2024-09-03,100,False,True,True,https://www.walker-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.849985,-92.305245
207,Live Oak Care Center,5385 Magazine Street,Livingston,Livingston,LA,71106,(225) 340-7918,Continuing Care Retirement Community,"Continuing Care, Memory Care",63,LA-ALF-68430,Louisiana Department of Health,2024-03-18,74,False,True,False,https://www.livingston-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.72064,-90.991459
208,Bayou Care Center,9114 River Road,Livingston,Livingston,LA,70143,(318) 651-6627,Assisted Living Facility,"Assisted Living, Continuing Care",141,LA-ALF-61600,Louisiana Department of Health,2024-12-11,99,True,False,True,https://www.livingston-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.924661,-92.585674
209,Spanish Moss Residence,4827 Causeway Boulevard,Hammond,Tangipahoa,LA,71968,(225) 619-2604,Adult Day Health Care,"Assisted Living, Adult Residential Care",76,LA-ALF-82933,Louisiana Department of Health,2024-03-06,79,False,True,False,https://www.hammond-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.429665,-92.911479
210,Spanish Moss Commons,6584 Veterans Boulevard,Amite,Tangipahoa,LA,71536,(318) 993-4653,Intermediate Care Facility,"Independent Living, Adult Residential Care, Respite Care",96,LA-ALF-21760,Louisiana Department of Health,2024-02-17,74,True,True,False,https://www.amite-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.056883,-89.043168
211,River Estates,4133 Canal Street,Hammond,Tangipahoa,LA,71960,(225) 896-3855,Skilled Nursing Facility,"Adult Residential Care, Respite Care, Memory Care",60,LA-ALF-29839,Louisiana Department of Health,2024-06-09,96,False,False,False,https://www.hammond-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.506343,-90.422398
212,Colonial Commons,4799 West Bank Expressway,Amite,Tangipahoa,LA,70958,(504) 675-5631,Residential Care Home,"Adult Residential Care, Assisted Living, Memory Care, Adult Day Care",37,LA-ALF-45329,Louisiana Department of Health,2024-04-13,87,False,True,False,https://www.amite-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.971571,-92.242171
213,Bienville Estates,6066 Carrollton Avenue,Amite,Tangipahoa,LA,71741,(985) 395-4499,Continuing Care Retirement Community,"Adult Residential Care, Continuing Care",74,LA-ALF-87054,Louisiana Department of Health,2024-02-02,93,True,True,False,https://www.amite-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.741537,-91.059897
214,Cajun Center,2927 River Road,Franklinton,Washington,LA,71302,(318) 613-4093,Skilled Nursing Facility,"Continuing Care, Adult Residential Care, Intermediate Care, Adult Day Care",148,LA-ALF-74759,Louisiana Department of Health,2024-10-07,74,True,False,True,https://www.franklinton-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.644602,-91.278106
215,Louisiana Place,6369 Causeway Boulevard,Bogalusa,Washington,LA,71933,(985) 938-1746,Adult Day Health Care,"Memory Care, Adult Residential Care, Intermediate Care",128,LA-ALF-49196,Louisiana Department of Health,2024-11-03,87,False,False,True,https://www.bogalusa-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.973652,-92.008811
216,Southern Estates,7121 River Road,Pine,St. Helena,LA,70861,(318) 562-6462,Adult Day Health Care,"Memory Care, Respite Care, Continuing Care, Adult Day Care",96,LA-ALF-75827,Louisiana Department of Health,2024-09-23,98,False,False,False,https://www.pine-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.652146,-91.919906
217,Creole Memory Care,5178 River Road,Pine,St. Helena,LA,70180,(225) 439-4047,Assisted Living Facility,"Assisted Living, Skilled Nursing",60,LA-ALF-70542,Louisiana Department of Health,2024-11-22,97,True,True,False,https://www.pine-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.549441,-90.310689
218,River Plaza,4046 St. Charles Avenue,Pine,St. Helena,LA,71852,(504) 642-3330,Adult Day Health Care,"Continuing Care, Respite Care",30,LA-ALF-43288,Louisiana Department of Health,2024-09-21,89,True,True,False,https://www.pine-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.054751,-89.935815
219,Oak Senior Living,7633 Airline Highway,Covington,St. Tammany,LA,71707,(504) 819-7187,Adult Residential Care,"Adult Day Care, Assisted Living, Adult Residential Care",55,LA-ALF-12317,Louisiana Department of Health,2024-07-17,81,True,False,True,https://www.covington-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.401633,-92.945994
220,Cajun Memory Care,499 Causeway Boulevard,Slidell,St. Tammany,LA,70985,(985) 720-2859,Adult Day Health Care,"Respite Care, Adult Residential Care",59,LA-ALF-66039,Louisiana Department of Health,2024-02-05,75,False,True,False,https://www.slidell-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.879058,-90.479261
221,Louisiana Assisted Living,1748 West Bank Expressway,Covington,St. Tammany,LA,71711,(504) 627-1016,Skilled Nursing Facility,"Independent Living, Skilled Nursing, Respite Care, Adult Residential Care",128,LA-ALF-53367,Louisiana Department of Health,2024-04-02,95,True,True,False,https://www.covington-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.698053,-90.338077
222,Magnolia House,9037 Esplanade Avenue,Covington,St. Tammany,LA,70771,(225) 341-7415,Assisted Living Facility,"Memory Care, Adult Residential Care, Intermediate Care, Respite Care",125,LA-ALF-96079,Louisiana Department of Health,2024-06-02,86,True,True,True,https://www.covington-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.864339,-89.766445
223,River Place,9183 West Bank Expressway,Covington,St. Tammany,LA,71478,(337) 940-9973,Memory Care Community,"Adult Day Care, Assisted Living, Intermediate Care",39,LA-ALF-32780,Louisiana Department of Health,2024-02-19,92,True,True,False,https://www.covington-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.483597,-93.494211
224,Spanish Moss Commons,3920 Elysian Fields,Slidell,St. Tammany,LA,70612,(504) 368-5503,Memory Care Community,"Respite Care, Adult Day Care",100,LA-ALF-27087,Louisiana Department of Health,2024-06-26,98,False,False,True,https://www.slidell-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.239644,-89.502289
225,Covington Residence,7700 Carrollton Avenue,Covington,St. Tammany,LA,71740,(225) 330-1722,Intermediate Care Facility,"Assisted Living, Adult Residential Care, Memory Care, Adult Day Care",81,LA-ALF-39989,Louisiana Department of Health,2024-12-04,77,False,False,True,https://www.covington-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.24518,-92.237013
226,Bayou Gardens,978 Veterans Boulevard,Gretna,Orleans,LA,70172,(318) 871-2696,Intermediate Care Facility,"Memory Care, Continuing Care, Independent Living",103,LA-ALF-22584,Louisiana Department of Health,2024-02-25,73,False,True,True,https://www.gretna-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.387609,-93.743086
227,Bayou Care Center,8190 Broad Street,Gretna,Orleans,LA,70116,(318) 563-7596,Continuing Care Retirement Community,"Continuing Care, Respite Care, Memory Care, Independent Living",134,LA-ALF-61821,Louisiana Department of Health,2024-05-01,85,True,False,False,https://www.gretna-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.286786,-90.581047
228,Algiers House,4590 Harrison Avenue,Algiers,Orleans,LA,71750,(225) 813-6331,Assisted Living Facility,"Independent Living, Skilled Nursing, Assisted Living",80,LA-ALF-95950,Louisiana Department of Health,2024-09-18,95,False,True,True,https://www.algiers-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.947178,-93.324833
229,Cypress Retirement Community,7946 Veterans Boulevard,New Orleans,Orleans,LA,70116,(225) 653-4684,Skilled Nursing Facility,"Adult Residential Care, Respite Care, Intermediate Care, Independent Living",115,LA-ALF-81409,Louisiana Department of Health,2024-07-12,97,True,False,True,https://www.neworleans-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.951503,-90.071474
230,Plantation Assisted Living,8246 Magazine Street,Gretna,Orleans,LA,70111,(225) 278-9754,Residential Care Home,"Continuing Care, Intermediate Care, Adult Day Care",147,LA-ALF-74284,Louisiana Department of Health,2024-06-05,85,True,True,False,https://www.gretna-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.418867,-90.465464
231,Colonial Care Center,4749 St. Charles Avenue,Algiers,Orleans,LA,70846,(337) 905-9641,Adult Residential Care,"Adult Day Care, Intermediate Care, Assisted Living, Continuing Care",62,LA-ALF-16235,Louisiana Department of Health,2024-06-23,75,True,False,False,https://www.algiers-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.251307,-93.827067
232,Gretna Gardens,553 Jefferson Highway,Gretna,Orleans,LA,70179,(337) 425-3791,Adult Day Health Care,"Continuing Care, Memory Care, Assisted Living",26,LA-ALF-98460,Louisiana Department of Health,2024-05-13,75,False,True,True,https://www.gretna-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.260218,-89.853154
233,Magnolia Estates,6744 Elysian Fields,Metairie,Jefferson,LA,70167,(504) 319-7714,Memory Care Community,"Independent Living, Respite Care, Adult Day Care",107,LA-ALF-77212,Louisiana Department of Health,2024-09-09,98,False,True,False,https://www.metairie-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.915892,-92.296795
234,Delta Village,8965 Causeway Boulevard,Metairie,Jefferson,LA,70179,(504) 773-9569,Skilled Nursing Facility,"Adult Residential Care, Adult Day Care, Skilled Nursing",138,LA-ALF-29975,Louisiana Department of Health,2024-06-07,80,True,True,True,https://www.metairie-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.099609,-92.404491
235,Pecan Estates,817 Magazine Street,Kenner,Jefferson,LA,70065,(337) 377-8840,Assisted Living Facility,"Skilled Nursing, Adult Residential Care, Assisted Living, Respite Care",145,LA-ALF-10907,Louisiana Department of Health,2024-12-28,74,True,False,False,https://www.kenner-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.000157,-90.211932
236,Spanish Moss Village,9726 Royal Street,Metairie,Jefferson,LA,70187,(985) 798-2478,Residential Care Home,"Adult Day Care, Independent Living, Assisted Living",46,LA-ALF-21816,Louisiana Department of Health,2024-09-04,93,True,False,True,https://www.metairie-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.103521,-89.539636
237,Heritage House,5476 Magazine Street,Westwego,Jefferson,LA,71394,(985) 733-9709,Assisted Living Facility,"Respite Care, Assisted Living, Skilled Nursing, Intermediate Care",35,LA-ALF-48351,Louisiana Department of Health,2024-01-13,79,True,True,True,https://www.westwego-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.841503,-91.312056
238,River House,6713 River Road,Kenner,Jefferson,LA,70066,(337) 373-6073,Skilled Nursing Facility,"Adult Day Care, Continuing Care, Skilled Nursing, Respite Care",132,LA-ALF-84688,Louisiana Department of Health,2024-07-02,78,False,True,False,https://www.kenner-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.00086,-90.224182
239,Creole Senior Living,6684 Magazine Street,Boutte,St. Charles,LA,71425,(337) 609-4825,Skilled Nursing Facility,"Respite Care, Assisted Living",89,LA-ALF-92577,Louisiana Department of Health,2024-07-18,90,True,True,False,https://www.boutte-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.458308,-91.634475
240,Hahnville Assisted Living,8924 Airline Highway,Hahnville,St. Charles,LA,70934,(337) 670-6783,Intermediate Care Facility,"Assisted Living, Respite Care, Intermediate Care, Independent Living",40,LA-ALF-53467,Louisiana Department of Health,2024-12-26,94,True,False,True,https://www.hahnville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.65869,-89.394424
241,St. Charles Home,9114 Veterans Boulevard,Boutte,St. Charles,LA,71700,(318) 547-1636,Skilled Nursing Facility,"Adult Day Care, Respite Care, Memory Care, Intermediate Care",148,LA-ALF-41319,Louisiana Department of Health,2024-07-27,97,False,True,True,https://www.boutte-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.5175,-89.331251
242,St. Bernard Court,6938 Causeway Boulevard,Arabi,St. Bernard,LA,70626,(225) 308-7087,Skilled Nursing Facility,"Respite Care, Assisted Living, Adult Residential Care, Skilled Nursing",111,LA-ALF-68390,Louisiana Department of Health,2024-12-19,99,False,False,False,https://www.arabi-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.798133,-92.589008
243,Cypress Gardens,7605 Canal Street,Chalmette,St. Bernard,LA,71947,(225) 468-5249,Assisted Living Facility,"Intermediate Care, Assisted Living, Independent Living, Adult Day Care",51,LA-ALF-92986,Louisiana Department of Health,2024-03-13,97,True,True,False,https://www.chalmette-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.645718,-89.483536
244,Buras Plaza,2222 St. Charles Avenue,Buras,Plaquemines,LA,71782,(337) 605-9404,Adult Day Health Care,"Memory Care, Independent Living, Respite Care",66,LA-ALF-84225,Louisiana Department of Health,2024-02-19,73,True,False,False,https://www.buras-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.680658,-90.476813
245,Spanish Moss Plaza,9084 Harrison Avenue,Buras,Plaquemines,LA,70403,(318) 604-6782,Adult Residential Care,"Intermediate Care, Memory Care, Respite Care, Adult Residential Care",100,LA-ALF-93483,Louisiana Department of Health,2024-11-12,85,True,True,True,https://www.buras-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.41887,-90.906211
246,Plaquemines Village,2245 River Road,Port Sulphur,Plaquemines,LA,70958,(337) 942-5510,Assisted Living Facility,"Continuing Care, Intermediate Care, Independent Living, Skilled Nursing",125,LA-ALF-22489,Louisiana Department of Health,2024-02-14,98,True,False,True,https://www.portsulphur-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.425468,-89.033565
247,Magnolia Place,2825 Bourbon Street,Buras,Plaquemines,LA,71688,(504) 425-9342,Skilled Nursing Facility,"Respite Care, Assisted Living, Skilled Nursing",35,LA-ALF-22052,Louisiana Department of Health,2024-02-23,97,False,False,False,https://www.buras-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.022607,-93.552058
