name,address,city,state,zip_code,county,phone,care_types,facility_type,description,license_number,operator_name,ownership_type,latitude,longitude,data_source,verification_status,last_updated
The Villas at Dominican Village,565-567 Albany Avenue,Amityville,NY,11701,Suffolk,(631) 842-6091,['Enriched Housing'],Senior Living Community,Enriched Housing Program,700-S-287,Dominican Village EHP,Not for Profit Corporation,40.70406,-73.402961,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201666
Heathwood Assisted Living at Penfield,100 Elderwood Court,Penfield,NY,14526,Monroe,(585) 425-9663,['Enriched Housing'],Senior Living Community,Enriched Housing Program,370-S-852,"Heathwood Assisted Living At Penfield, Inc.",Business Corporation,43.136965,-77.440144,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201682
The Terrace at Glen Eddy,1 Ascot Lane,Niskayuna,NY,12309,Schenectady,(518) 280-8361,['Enriched Housing'],Senior Living Community,Enriched Housing Program,650-S-067,Glen Eddy Inc.,Not for Profit Corporation,42.776093,-73.878271,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201688
The Bristal at East Northport,760 Larkfield Road,East Northport,NY,11731,Suffolk,(631) 858-0100,['Enriched Housing'],Senior Living Community,Enriched Housing Program,700-S-303,"Engel Burman Sr. Housing at East Northport, LLC",LLC,40.838157,-73.313347,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201692
Brookdale Niagara Assisted Living,6741 Nash Road,North Tonawanda,NY,14120,Niagara,(716) 731-1634,['Enriched Housing'],Senior Living Community,Enriched Housing Program,500-S-002,"SH Niagara Operator, Inc.",Business Corporation,43.097489,-78.865318,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201696
Brentland Woods,3831 East Henrietta Road,Henrietta,NY,14467,Monroe,(585) 321-1490,['Enriched Housing'],Senior Living Community,Enriched Housing Program,370-S-838,"CH Services, Inc.",Not for Profit Corporation,43.046565,-77.624734,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201700
Willow Towers EHP,355 Pelham Road,New Rochelle,NY,10805,Westchester,(914) 636-6565,['Enriched Housing'],Senior Living Community,Enriched Housing Program,800-S-131,"Willow Towers, Inc.",Not for Profit Corporation,40.898343,-73.77876,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201704
The Club at Briarcliff Manor,25 Scarborough Road,Briarcliff Manor,NY,10510,Westchester,(914) 618-5496,['Enriched Housing'],Senior Living Community,Enriched Housing Program,800-S-157,"SL Briarcliff Manor Operator, Inc.",Business Corporation,41.144309,-73.840693,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201712
Ashton Place,190 Ashton Court,Clifton Springs,NY,14432,Ontario,(315) 462-3140,['Enriched Housing'],Senior Living Community,Enriched Housing Program,530-S-005,"Clifton Park Associates, LLC",LLC,42.966982,-77.141536,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201716
Sunrise of Staten Island,801 Narrows Road,Staten Island,NY,10304,Richmond,(718) 727-8498,['Enriched Housing'],Senior Living Community,Enriched Housing Program,610-S-003,"SZR New York LH, Inc.",Business Corporation,40.610984,-74.094865,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201720
The Bristal at North Hills,99 South Service Road,North Hills,NY,11040,Nassau,(516) 233-3100,['Enriched Housing'],Senior Living Community,Enriched Housing Program,400-S-309,"Engel Burman Senior Housing at North Hills, Inc.",Business Corporation,40.771042,-73.686638,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201724
Massry Residence at Daughters of Sarah,182 Washington Ave. Extension,Albany,NY,12203,Albany,(518) 689-0453,['Enriched Housing'],Senior Living Community,Enriched Housing Program,000-S-006,"Daughters of Sarah Housing Company, Inc.",Not for Profit Corporation,42.699729,-73.853422,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201728
Brookdale Ithaca Assisted Living,103 Bundy Road,Ithaca,NY,14850,Tompkins,(607) 256-2580,['Enriched Housing'],Senior Living Community,Enriched Housing Program,730-S-011,"SH Ithaca Operator, Inc.",Business Corporation,,,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201731
Atria Glen Cove,146 Glen Street,Glen Cove,NY,11542,Nassau,(516) 671-7008,['Enriched Housing'],Senior Living Community,Enriched Housing Program,400-S-324,"ATR New York LH, Inc.",Business Corporation,40.862494,-73.625294,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201735
Morrisville Adult Day Health,1035 Community Way,Morrisville,NY,13408,Madison,(315) 684-9595,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,2623300N,Crouse Community Center Inc,Not for Profit Corporation,,,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201744
Alma Rangel Gardens NY Foundation EHP#7,55 West 137th Street,New York,NY,10037,New York,(917) 507-1108,['Enriched Housing'],Senior Living Community,Enriched Housing Program,420-S-381,"New York Foundation for Senior Citizens, Inc.",Not for Profit Corporation,40.815085,-73.93856,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201748
The Bristal at Lake Grove,2995 Middle Country Road,Lake Grove,NY,11755,Suffolk,(631) 676-7580,['Enriched Housing'],Senior Living Community,Enriched Housing Program,700-S-311,Lake Grove Senior Care LLC,LLC,40.862206,-73.131527,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201752
305 West End Assisted Living,305 West End Avenue,New York,NY,10023,New York,(212) 874-5000,['Enriched Housing'],Senior Living Community,Enriched Housing Program,420-S-393,305 West End Avenue Operating LLC,LLC,40.781478,-73.983677,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201756
Elderwood Assisted Living at West Seneca,580 Orchard Park Road,West Seneca,NY,14224,Erie,(716) 677-4242,['Enriched Housing'],Senior Living Community,Enriched Housing Program,240-S-119,"580 Orchard Park Road Operating Company, Llc",LLC,42.831645,-78.777705,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201760
Bushwick Center for Rehabilitation and Health Care,172-61 Baisley Blvd,Jamaica,NY,11434,Queens,,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,7001364N,"Wartburg Receiver, LLC",LLC,40.682823,-73.77063,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201764
The Springs at Fountainview,2000 Fountainview Drive,Monsey,NY,10952,Rockland,(845) 426-6757,['Enriched Housing'],Senior Living Community,Enriched Housing Program,620-E-021,"Fountainview at College Road, Inc.",Not for Profit Corporation,41.113253,-74.089929,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201768
Peregrine Shaker,345 Northern Boulevard,Albany,NY,12204,Albany,(518) 465-4444,['Enriched Housing'],Senior Living Community,Enriched Housing Program,000-S-015,PSL of Shaker LLC,LLC,42.673244,-73.754611,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201771
Coterie Hudson Yards,505 West 35th Street,New York,NY,10001,New York,(929) 581-2050,['Enriched Housing'],Senior Living Community,Enriched Housing Program,420-S-401,"Atria NY Operating Company, Inc.",LLC,,,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201775
Franklin Center for Rehab&Nursg ADHCP,45-15 162nd Street,Flushing,NY,11358,Queens,(718) 670-3400,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,7003402N,"New Franklin Rehabilitation & Health Care Facility, LLC",LLC,40.755203,-73.804619,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201778
Atria Kew Gardens,117-01 84th Avenue,Kew Gardens,NY,11418,Queens,(718) 441-0300,['Enriched Housing'],Senior Living Community,Enriched Housing Program,590-S-315,"ATR New York LH, Inc.",Business Corporation,40.704287,-73.834549,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201783
NY Found-Sr Citizens EHP#3,1850 Second Avenue,New York,NY,10128,New York,(212) 369-5523,['Enriched Housing'],Senior Living Community,Enriched Housing Program,420-S-370,"New York Foundation for Senior Citizens, Inc.",Not for Profit Corporation,40.783914,-73.947036,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201790
Wolk Manor Enriched Living Center,4000 Summit Circle Drive,Rochester,NY,14618,Monroe,(585) 442-1950,['Enriched Housing'],Senior Living Community,Enriched Housing Program,370-S-869,"Jewish Home of Rochester Senior Housing, Inc.",Not for Profit Corporation,,,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201796
The Bristal at Jericho,310 Jericho Turnpike,Jericho,NY,11753,Nassau,(516) 219-8688,['Enriched Housing'],Senior Living Community,Enriched Housing Program,400-S-332,"Engel Burman Senior Care at Jericho, LLC",LLC,40.792167,-73.541039,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201802
Loretto EHP #3 Nottingham,1301 Nottingham Road,Jamesville,NY,13078,Onondaga,(315) 445-9242,['Enriched Housing'],Senior Living Community,Enriched Housing Program,520-S-114,"Loretto Adult Community, Inc.",Not for Profit Corporation,43.011369,-76.086122,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201808
"Cedarbrook Village, Incorporated",101 Sitrin Lane,New Hartford,NY,13413,Oneida,(315) 737-2710,['Enriched Housing'],Senior Living Community,Enriched Housing Program,510-S-064,"Cedarbrook Village, Inc.",Not for Profit Corporation,43.055828,-75.237972,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201813
The Hamlet,1471 Long Pond Road,Rochester,NY,14626,Monroe,(585) 723-7442,['Enriched Housing'],Senior Living Community,Enriched Housing Program,370-S-867,WRP RRH LLC,LLC,43.196607,-77.701489,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201819
Carnegie East House,1844 Second Avenue,New York,NY,10128,New York,(212) 360-2275,['Enriched Housing'],Senior Living Community,Enriched Housing Program,420-S-387,"Carnegie East House Housing Development Fund Company, Inc.",Not for Profit Corporation,40.783669,-73.947143,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201824
Fox Run at Orchard Park,One Fox Run Lane,Orchard Park,NY,14127,Erie,(716) 662-5001,['Enriched Housing'],Senior Living Community,Enriched Housing Program,240-S-111,"Orchard Park CCRC, Inc.",Not for Profit Corporation,42.762962,-78.77293,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201828
"Valley Residential Services, Inc.",161 Valley Drive,Herkimer,NY,13350,Herkimer,(315) 219-5700,['Enriched Housing'],Senior Living Community,Enriched Housing Program,320-S-001,"Valley Health Services, Inc.",Not for Profit Corporation,43.045,-74.9586,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201832
Brookdale Castle Gardens,1715 Castle Gardens Road,Vestal,NY,13850,Broome,(607) 748-5700,['Enriched Housing'],Senior Living Community,Enriched Housing Program,030-S-044,"Hearth Management, L.L.C.",LLC,42.078487,-76.081083,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201835
Lakeside/Parkshore Adult Day Health Care Center,945 East 108th Street,Brooklyn,NY,11236,Kings,(718) 498-6400,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,7001808N,"FSNR SNF, LLC",LLC,40.648048,-73.891502,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201839
Sunrise of New Dorp,470 New Dorp Lane,Staten Island,NY,10306,Richmond,(718) 355-3805,['Enriched Housing'],Senior Living Community,Enriched Housing Program,610-S-005,GWC- New Dorp Inc,Business Corporation,,,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201842
"Evergreen Place, Enhanced, Assisted Living & Memory Care",90 West Avenue,Brockport,NY,14420,Monroe,(585) 637-3140,['Enriched Housing'],Senior Living Community,Enriched Housing Program,370-S-849,Wegman Family (Brockport) LLC II,LLC,43.222662,-77.942017,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201846
Canterbury Woods Gates Circle,1 Gates Circle,Buffalo,NY,14209,Erie,(716) 929-5150,['Enriched Housing'],Senior Living Community,Enriched Housing Program,240-S-127,"Episcopal Church Home & Affiliates Life Care Community, Inc.",Not for Profit Corporation,42.920002,-78.867043,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201849
The Bristal at White Plains,305 North Street,White Plains,NY,10605,Westchester,(914) 984-5343,['Enriched Housing'],Senior Living Community,Enriched Housing Program,800-S-145,"EBC White Plains, LLC",LLC,41.026862,-73.747565,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201852
Pine Harbour,15 New Hampshire Street,Plattsburgh,NY,12903,Clinton,(518) 561-5307,['Enriched Housing'],Senior Living Community,Enriched Housing Program,090-S-001,"Pine Harbour, Inc.",Not for Profit Corporation,44.675749,-73.444165,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201856
Sunrise at Mill Basin,5905 Strickland Avenue,Brooklyn,NY,11234,Kings,(718) 444-2600,['Enriched Housing'],Senior Living Community,Enriched Housing Program,331-S-011,"GWC-Mill Basin, Inc.",Business Corporation,40.607839,-73.916469,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201860
Sheepshead Nursing&Rehab Center ADHCP,3900 Shore Parkway,Brooklyn,NY,11235,Kings,(718) 646-5700,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,7001362N,"Sheepshead Nursing & Rehabilitation Center, LLC",LLC,40.585342,-73.931152,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201863
"Eger Harbor House, Inc.",110 Meisner Avenue,Staten Island,NY,10306,Richmond,(718) 554-8700,['Enriched Housing'],Senior Living Community,Enriched Housing Program,610-S-001,"Eger Harbor House, Inc.",Not for Profit Corporation,40.581106,-74.130857,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201866
Plattduetsche Home Society,1150 Hempstead Turnpike,Franklin Square,NY,11010,Nassau,(516) 352-4252,['Enriched Housing'],Senior Living Community,Enriched Housing Program,400-S-290,"Plattduetsche Altenheim Gesellschaft Von Brooklyn Und Umgegend, Inc.",Not for Profit Corporation,40.708419,-73.683483,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201870
Eddy Daybreak at Marjorie Doyle Rockwell Center,421 West Columbia Street,Cohoes,NY,12047,Albany,,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,0102001N,Capital Region Geriatric Center Inc,Not for Profit Corporation,42.772724,-73.725082,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201875
The Apsley,2330 Broadway,New York,NY,10024,New York,(212) 479-1200,['Enriched Housing'],Senior Living Community,Enriched Housing Program,420-S-403,GWC - Broadway 85th Inc.,Business Corporation,,,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201881
The Village at Mill Landing,45 Mill Road,Rochester,NY,14626,Monroe,(585) 720-3033,['Enriched Housing'],Senior Living Community,Enriched Housing Program,370-S-859,WRP Operating Greece LLC,LLC,43.231137,-77.701059,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201887
Judson Meadows,39 Swaggertown Road,Glenville,NY,12302,Schenectady,(518) 831-2400,['Enriched Housing'],Senior Living Community,Enriched Housing Program,650-S-009,"Baptist Health Enriched Housing Program, Inc.",Not for Profit Corporation,42.845599,-73.950802,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201893
St. Mary's Manor,60 Doughty Boulevard,Inwood,NY,11096,Nassau,(516) 250-3234,['Enriched Housing'],Senior Living Community,Enriched Housing Program,400-S-312,"St. Mary's Manor for Senior Citizen Housing Development Fund Company, Inc.",Not for Profit Corporation,40.613614,-73.745493,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201896
Peregrine Crossgate,140 Washington Avenue Extension,Albany,NY,12203,Albany,(518) 869-0211,['Enriched Housing'],Senior Living Community,Enriched Housing Program,000-S-017,PSL of Crossgate LLC,LLC,42.694981,-73.851014,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201900
Woodland Pond at New Paltz,100 Woodland Pond Circle,New Paltz,NY,12561,Ulster,(845) 256-5910,['Enriched Housing'],Senior Living Community,Enriched Housing Program,740-S-010,"Woodland Pond, Inc.",Not for Profit Corporation,41.758058,-74.062294,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201903
The Springvale Inn,62 Springvale Rd.,Croton-on-Hudson,NY,10520,Westchester,(914) 739-4404,['Enriched Housing'],Senior Living Community,Enriched Housing Program,800-S-129,"Living Independently For The Elderly, Inc.",Not for Profit Corporation,41.232799,-73.916306,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201907
The Manor House,427 East Main Street,Batavia,NY,14020,Genesee,(585) 344-2345,['Enriched Housing'],Senior Living Community,Enriched Housing Program,290-S-003,"Manor House Enriched, LLC",LLC,42.996748,-78.173209,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201910
Middle Island Adult Day Health Services West,575 Clayton Street,Central Islip,NY,11722,Suffolk,(516) 234-0550,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,5157320N,Nesconset Operating LLC,LLC,40.787064,-73.192581,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201914
Brandywine Living at The Savoy,55-15 Little Neck Parkway,Little Neck,NY,11362,Queens,(718) 423-7900,['Enriched Housing'],Senior Living Community,Enriched Housing Program,590-S-319,"GWC-Savoy, Inc.",Not for Profit Corporation,40.765118,-73.723552,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201917
Canterbury Woods,725 Renaissance Drive,Williamsville,NY,14221,Erie,(716) 929-5150,['Enriched Housing'],Senior Living Community,Enriched Housing Program,240-S-106,"Episcopal Church Home & Affiliates Life Care Community, Inc.",Not for Profit Corporation,42.996504,-78.72287,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201921
Metro Interfaith Housing,21 New Street,Binghamton,NY,13903,Broome,(607) 772-6766,['Enriched Housing'],Senior Living Community,Enriched Housing Program,030-S-046,Metro Interfaith Housing Management Corporation,Not for Profit Corporation,42.090349,-75.910695,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201924
Yonkers Adult Day Health Care Program,81 South Broadway,Yonkers,NY,10701,Westchester,(914) 375-3333,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,5907319N,Yonkers Gardens LLC,LLC,40.931042,-73.898552,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201928
Eddy Daybreak at Eddy Cohoes,421 West Columbia Street,Cohoes,NY,12047,Albany,(518) 237-5630,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,0102001N,Capital Region Geriatric Center Inc,Not for Profit Corporation,42.772724,-73.725082,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201931
Atria Bay Shore,53 Ocean Ave.,Bay Shore,NY,11706,Suffolk,(631) 206-1200,['Enriched Housing'],Senior Living Community,Enriched Housing Program,700-S-305,"ATR New York LH, Inc.",Business Corporation,40.716978,-73.246862,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202017
