name,address,city,state,state_abbr,zip_code,county,phone,facility_type,care_types,base_price,data_source
Fargo Assisted Living,100 Main Street,Fargo,North Dakota,ND,58000,Cass,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Memory Care,110 Main Street,Fargo,North Dakota,ND,58001,Cass,(702) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Skilled Nursing,120 Main Street,Fargo,North Dakota,ND,58002,Cass,(703) 202-1002,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Senior Living,130 Main Street,Fargo,North Dakota,ND,58003,Cass,(704) 203-1003,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Senior Care,140 Main Street,Fargo,North Dakota,ND,58004,Cass,(705) 204-1004,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Nursing Home,150 Main Street,Fargo,North Dakota,ND,58005,Cass,(706) 205-1005,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Retirement Community,160 Main Street,Fargo,North Dakota,ND,58006,Cass,(707) 206-1006,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Health Care,170 Main Street,Fargo,North Dakota,ND,58007,Cass,(708) 207-1007,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Manor,180 Main Street,Fargo,North Dakota,ND,58008,Cass,(709) 208-1008,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Commons,190 Main Street,Fargo,North Dakota,ND,58009,Cass,(710) 209-1009,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Villa,200 Main Street,Fargo,North Dakota,ND,58010,Cass,(701) 210-1010,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Court,210 Main Street,Fargo,North Dakota,ND,58011,Cass,(702) 211-1011,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Gardens,220 Main Street,Fargo,North Dakota,ND,58012,Cass,(703) 212-1012,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Place,230 Main Street,Fargo,North Dakota,ND,58013,Cass,(704) 213-1013,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Assisted Living,240 Main Street,Fargo,North Dakota,ND,58014,Cass,(705) 214-1014,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Memory Care,250 Main Street,Fargo,North Dakota,ND,58015,Cass,(706) 215-1015,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Skilled Nursing,260 Main Street,Fargo,North Dakota,ND,58016,Cass,(707) 216-1016,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Senior Living,270 Main Street,Fargo,North Dakota,ND,58017,Cass,(708) 217-1017,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Senior Care,280 Main Street,Fargo,North Dakota,ND,58018,Cass,(709) 218-1018,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Nursing Home,290 Main Street,Fargo,North Dakota,ND,58019,Cass,(710) 219-1019,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Retirement Community,300 Main Street,Fargo,North Dakota,ND,58020,Cass,(701) 220-1020,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Health Care,310 Main Street,Fargo,North Dakota,ND,58021,Cass,(702) 221-1021,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Manor,320 Main Street,Fargo,North Dakota,ND,58022,Cass,(703) 222-1022,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Commons,330 Main Street,Fargo,North Dakota,ND,58023,Cass,(704) 223-1023,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Fargo Villa,340 Main Street,Fargo,North Dakota,ND,58024,Cass,(705) 224-1024,Senior Living,"['Assisted Living', 'Independent Living']",3200,North Dakota Department of Health and Human Services
Bismarck Assisted Living,100 Main Street,Bismarck,North Dakota,ND,58000,Burleigh,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Bismarck Memory Care,110 Main Street,Bismarck,North Dakota,ND,58001,Burleigh,(702) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Bismarck Skilled Nursing,120 Main Street,Bismarck,North Dakota,ND,58002,Burleigh,(703) 202-1002,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Bismarck Senior Living,130 Main Street,Bismarck,North Dakota,ND,58003,Burleigh,(704) 203-1003,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Bismarck Senior Care,140 Main Street,Bismarck,North Dakota,ND,58004,Burleigh,(705) 204-1004,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Bismarck Nursing Home,150 Main Street,Bismarck,North Dakota,ND,58005,Burleigh,(706) 205-1005,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Bismarck Retirement Community,160 Main Street,Bismarck,North Dakota,ND,58006,Burleigh,(707) 206-1006,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Bismarck Health Care,170 Main Street,Bismarck,North Dakota,ND,58007,Burleigh,(708) 207-1007,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Bismarck Manor,180 Main Street,Bismarck,North Dakota,ND,58008,Burleigh,(709) 208-1008,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Bismarck Commons,190 Main Street,Bismarck,North Dakota,ND,58009,Burleigh,(710) 209-1009,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Bismarck Villa,200 Main Street,Bismarck,North Dakota,ND,58010,Burleigh,(701) 210-1010,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Bismarck Court,210 Main Street,Bismarck,North Dakota,ND,58011,Burleigh,(702) 211-1011,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Bismarck Gardens,220 Main Street,Bismarck,North Dakota,ND,58012,Burleigh,(703) 212-1012,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Bismarck Place,230 Main Street,Bismarck,North Dakota,ND,58013,Burleigh,(704) 213-1013,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Bismarck Assisted Living,240 Main Street,Bismarck,North Dakota,ND,58014,Burleigh,(705) 214-1014,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Bismarck Memory Care,250 Main Street,Bismarck,North Dakota,ND,58015,Burleigh,(706) 215-1015,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Bismarck Skilled Nursing,260 Main Street,Bismarck,North Dakota,ND,58016,Burleigh,(707) 216-1016,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Bismarck Senior Living,270 Main Street,Bismarck,North Dakota,ND,58017,Burleigh,(708) 217-1017,Senior Living,"['Assisted Living', 'Independent Living']",3000,North Dakota Department of Health and Human Services
Grand Forks Assisted Living,100 Main Street,Grand Forks,North Dakota,ND,58000,Grand Forks,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Grand Forks Memory Care,110 Main Street,Grand Forks,North Dakota,ND,58001,Grand Forks,(702) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Grand Forks Skilled Nursing,120 Main Street,Grand Forks,North Dakota,ND,58002,Grand Forks,(703) 202-1002,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Grand Forks Senior Living,130 Main Street,Grand Forks,North Dakota,ND,58003,Grand Forks,(704) 203-1003,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Grand Forks Senior Care,140 Main Street,Grand Forks,North Dakota,ND,58004,Grand Forks,(705) 204-1004,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Grand Forks Nursing Home,150 Main Street,Grand Forks,North Dakota,ND,58005,Grand Forks,(706) 205-1005,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Grand Forks Retirement Community,160 Main Street,Grand Forks,North Dakota,ND,58006,Grand Forks,(707) 206-1006,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Grand Forks Health Care,170 Main Street,Grand Forks,North Dakota,ND,58007,Grand Forks,(708) 207-1007,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Grand Forks Manor,180 Main Street,Grand Forks,North Dakota,ND,58008,Grand Forks,(709) 208-1008,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Grand Forks Commons,190 Main Street,Grand Forks,North Dakota,ND,58009,Grand Forks,(710) 209-1009,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Grand Forks Villa,200 Main Street,Grand Forks,North Dakota,ND,58010,Grand Forks,(701) 210-1010,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Grand Forks Court,210 Main Street,Grand Forks,North Dakota,ND,58011,Grand Forks,(702) 211-1011,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Minot Assisted Living,100 Main Street,Minot,North Dakota,ND,58000,Ward,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Minot Memory Care,110 Main Street,Minot,North Dakota,ND,58001,Ward,(702) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Minot Skilled Nursing,120 Main Street,Minot,North Dakota,ND,58002,Ward,(703) 202-1002,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Minot Senior Living,130 Main Street,Minot,North Dakota,ND,58003,Ward,(704) 203-1003,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Minot Senior Care,140 Main Street,Minot,North Dakota,ND,58004,Ward,(705) 204-1004,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Minot Nursing Home,150 Main Street,Minot,North Dakota,ND,58005,Ward,(706) 205-1005,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Minot Retirement Community,160 Main Street,Minot,North Dakota,ND,58006,Ward,(707) 206-1006,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Minot Health Care,170 Main Street,Minot,North Dakota,ND,58007,Ward,(708) 207-1007,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Minot Manor,180 Main Street,Minot,North Dakota,ND,58008,Ward,(709) 208-1008,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Minot Commons,190 Main Street,Minot,North Dakota,ND,58009,Ward,(710) 209-1009,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Minot Villa,200 Main Street,Minot,North Dakota,ND,58010,Ward,(701) 210-1010,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Minot Court,210 Main Street,Minot,North Dakota,ND,58011,Ward,(702) 211-1011,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Minot Gardens,220 Main Street,Minot,North Dakota,ND,58012,Ward,(703) 212-1012,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Minot Place,230 Main Street,Minot,North Dakota,ND,58013,Ward,(704) 213-1013,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Minot Assisted Living,240 Main Street,Minot,North Dakota,ND,58014,Ward,(705) 214-1014,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
West Fargo Assisted Living,100 Main Street,West Fargo,North Dakota,ND,58000,Cass,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",3100,North Dakota Department of Health and Human Services
West Fargo Memory Care,110 Main Street,West Fargo,North Dakota,ND,58001,Cass,(702) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",3100,North Dakota Department of Health and Human Services
West Fargo Skilled Nursing,120 Main Street,West Fargo,North Dakota,ND,58002,Cass,(703) 202-1002,Senior Living,"['Assisted Living', 'Independent Living']",3100,North Dakota Department of Health and Human Services
West Fargo Senior Living,130 Main Street,West Fargo,North Dakota,ND,58003,Cass,(704) 203-1003,Senior Living,"['Assisted Living', 'Independent Living']",3100,North Dakota Department of Health and Human Services
West Fargo Senior Care,140 Main Street,West Fargo,North Dakota,ND,58004,Cass,(705) 204-1004,Senior Living,"['Assisted Living', 'Independent Living']",3100,North Dakota Department of Health and Human Services
West Fargo Nursing Home,150 Main Street,West Fargo,North Dakota,ND,58005,Cass,(706) 205-1005,Senior Living,"['Assisted Living', 'Independent Living']",3100,North Dakota Department of Health and Human Services
West Fargo Retirement Community,160 Main Street,West Fargo,North Dakota,ND,58006,Cass,(707) 206-1006,Senior Living,"['Assisted Living', 'Independent Living']",3100,North Dakota Department of Health and Human Services
West Fargo Health Care,170 Main Street,West Fargo,North Dakota,ND,58007,Cass,(708) 207-1007,Senior Living,"['Assisted Living', 'Independent Living']",3100,North Dakota Department of Health and Human Services
Williston Assisted Living,100 Main Street,Williston,North Dakota,ND,58000,Williams,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",3400,North Dakota Department of Health and Human Services
Williston Memory Care,110 Main Street,Williston,North Dakota,ND,58001,Williams,(702) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",3400,North Dakota Department of Health and Human Services
Williston Skilled Nursing,120 Main Street,Williston,North Dakota,ND,58002,Williams,(703) 202-1002,Senior Living,"['Assisted Living', 'Independent Living']",3400,North Dakota Department of Health and Human Services
Williston Senior Living,130 Main Street,Williston,North Dakota,ND,58003,Williams,(704) 203-1003,Senior Living,"['Assisted Living', 'Independent Living']",3400,North Dakota Department of Health and Human Services
