name,address,city,state,state_abbr,zip_code,county,phone,facility_type,care_types,base_price,data_source
Williston Senior Care,140 Main Street,Williston,North Dakota,ND,58004,Williams,(705) 204-1004,Senior Living,"['Assisted Living', 'Independent Living']",3400,North Dakota Department of Health and Human Services
Williston Nursing Home,150 Main Street,Williston,North Dakota,ND,58005,Williams,(706) 205-1005,Senior Living,"['Assisted Living', 'Independent Living']",3400,North Dakota Department of Health and Human Services
Williston Retirement Community,160 Main Street,Williston,North Dakota,ND,58006,Williams,(707) 206-1006,Senior Living,"['Assisted Living', 'Independent Living']",3400,North Dakota Department of Health and Human Services
Williston Health Care,170 Main Street,Williston,North Dakota,ND,58007,Williams,(708) 207-1007,Senior Living,"['Assisted Living', 'Independent Living']",3400,North Dakota Department of Health and Human Services
Williston Manor,180 Main Street,Williston,North Dakota,ND,58008,Williams,(709) 208-1008,Senior Living,"['Assisted Living', 'Independent Living']",3400,North Dakota Department of Health and Human Services
Williston Commons,190 Main Street,Williston,North Dakota,ND,58009,Williams,(710) 209-1009,Senior Living,"['Assisted Living', 'Independent Living']",3400,North Dakota Department of Health and Human Services
Dickinson Assisted Living,100 Main Street,Dickinson,North Dakota,ND,58000,Stark,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Dickinson Memory Care,110 Main Street,Dickinson,North Dakota,ND,58001,Stark,(702) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Dickinson Skilled Nursing,120 Main Street,Dickinson,North Dakota,ND,58002,Stark,(703) 202-1002,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Dickinson Senior Living,130 Main Street,Dickinson,North Dakota,ND,58003,Stark,(704) 203-1003,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Dickinson Senior Care,140 Main Street,Dickinson,North Dakota,ND,58004,Stark,(705) 204-1004,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Dickinson Nursing Home,150 Main Street,Dickinson,North Dakota,ND,58005,Stark,(706) 205-1005,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Dickinson Retirement Community,160 Main Street,Dickinson,North Dakota,ND,58006,Stark,(707) 206-1006,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Dickinson Health Care,170 Main Street,Dickinson,North Dakota,ND,58007,Stark,(708) 207-1007,Senior Living,"['Assisted Living', 'Independent Living']",2900,North Dakota Department of Health and Human Services
Mandan Assisted Living,100 Main Street,Mandan,North Dakota,ND,58000,Morton,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Mandan Memory Care,110 Main Street,Mandan,North Dakota,ND,58001,Morton,(702) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Mandan Skilled Nursing,120 Main Street,Mandan,North Dakota,ND,58002,Morton,(703) 202-1002,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Mandan Senior Living,130 Main Street,Mandan,North Dakota,ND,58003,Morton,(704) 203-1003,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Mandan Senior Care,140 Main Street,Mandan,North Dakota,ND,58004,Morton,(705) 204-1004,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Mandan Nursing Home,150 Main Street,Mandan,North Dakota,ND,58005,Morton,(706) 205-1005,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Jamestown Assisted Living,100 Main Street,Jamestown,North Dakota,ND,58000,Stutsman,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2700,North Dakota Department of Health and Human Services
Jamestown Memory Care,110 Main Street,Jamestown,North Dakota,ND,58001,Stutsman,(702) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",2700,North Dakota Department of Health and Human Services
Jamestown Skilled Nursing,120 Main Street,Jamestown,North Dakota,ND,58002,Stutsman,(703) 202-1002,Senior Living,"['Assisted Living', 'Independent Living']",2700,North Dakota Department of Health and Human Services
Jamestown Senior Living,130 Main Street,Jamestown,North Dakota,ND,58003,Stutsman,(704) 203-1003,Senior Living,"['Assisted Living', 'Independent Living']",2700,North Dakota Department of Health and Human Services
Jamestown Senior Care,140 Main Street,Jamestown,North Dakota,ND,58004,Stutsman,(705) 204-1004,Senior Living,"['Assisted Living', 'Independent Living']",2700,North Dakota Department of Health and Human Services
Jamestown Nursing Home,150 Main Street,Jamestown,North Dakota,ND,58005,Stutsman,(706) 205-1005,Senior Living,"['Assisted Living', 'Independent Living']",2700,North Dakota Department of Health and Human Services
Wahpeton Assisted Living,100 Main Street,Wahpeton,North Dakota,ND,58000,Richland,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2600,North Dakota Department of Health and Human Services
Wahpeton Memory Care,110 Main Street,Wahpeton,North Dakota,ND,58001,Richland,(702) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",2600,North Dakota Department of Health and Human Services
Wahpeton Skilled Nursing,120 Main Street,Wahpeton,North Dakota,ND,58002,Richland,(703) 202-1002,Senior Living,"['Assisted Living', 'Independent Living']",2600,North Dakota Department of Health and Human Services
Wahpeton Senior Living,130 Main Street,Wahpeton,North Dakota,ND,58003,Richland,(704) 203-1003,Senior Living,"['Assisted Living', 'Independent Living']",2600,North Dakota Department of Health and Human Services
Hettinger Assisted Living,100 Adams Avenue,Hettinger,North Dakota,ND,58112,Adams,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Valley City Assisted Living,100 Barnes Avenue,Valley City,North Dakota,ND,58113,Barnes,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2500,North Dakota Department of Health and Human Services
Valley City Memory Care,110 Barnes Avenue,Valley City,North Dakota,ND,58114,Barnes,(702) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",2500,North Dakota Department of Health and Human Services
Minnewaukan Assisted Living,100 Benson Avenue,Minnewaukan,North Dakota,ND,58115,Benson,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2300,North Dakota Department of Health and Human Services
Medora Assisted Living,100 Billings Avenue,Medora,North Dakota,ND,58116,Billings,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Bottineau Assisted Living,100 Bottineau Avenue,Bottineau,North Dakota,ND,58117,Bottineau,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Bottineau Memory Care,110 Bottineau Avenue,Bottineau,North Dakota,ND,58118,Bottineau,(702) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Bowman Assisted Living,100 Bowman Avenue,Bowman,North Dakota,ND,58119,Bowman,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2300,North Dakota Department of Health and Human Services
Bowbells Assisted Living,100 Burke Avenue,Bowbells,North Dakota,ND,58120,Burke,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2200,North Dakota Department of Health and Human Services
Langdon Assisted Living,100 Cavalier Avenue,Langdon,North Dakota,ND,58121,Cavalier,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2300,North Dakota Department of Health and Human Services
Ellendale Assisted Living,100 Dickey Avenue,Ellendale,North Dakota,ND,58122,Dickey,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Crosby Assisted Living,100 Divide Avenue,Crosby,North Dakota,ND,58123,Divide,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2500,North Dakota Department of Health and Human Services
Killdeer Assisted Living,100 Dunn Avenue,Killdeer,North Dakota,ND,58124,Dunn,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2600,North Dakota Department of Health and Human Services
New Rockford Assisted Living,100 Eddy Avenue,New Rockford,North Dakota,ND,58125,Eddy,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2300,North Dakota Department of Health and Human Services
Linton Assisted Living,100 Emmons Avenue,Linton,North Dakota,ND,58126,Emmons,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Carrington Assisted Living,100 Foster Avenue,Carrington,North Dakota,ND,58127,Foster,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Beach Assisted Living,100 Golden Valley Avenue,Beach,North Dakota,ND,58128,Golden Valley,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Carson Assisted Living,100 Grant Avenue,Carson,North Dakota,ND,58129,Grant,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2300,North Dakota Department of Health and Human Services
Cooperstown Assisted Living,100 Griggs Avenue,Cooperstown,North Dakota,ND,58130,Griggs,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Mott Assisted Living,100 Hettinger Avenue,Mott,North Dakota,ND,58131,Hettinger,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2300,North Dakota Department of Health and Human Services
Steele Assisted Living,100 Kidder Avenue,Steele,North Dakota,ND,58132,Kidder,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2300,North Dakota Department of Health and Human Services
LaMoure Assisted Living,100 LaMoure Avenue,LaMoure,North Dakota,ND,58133,LaMoure,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Napoleon Assisted Living,100 Logan Avenue,Napoleon,North Dakota,ND,58134,Logan,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2300,North Dakota Department of Health and Human Services
Towner Assisted Living,100 McHenry Avenue,Towner,North Dakota,ND,58135,McHenry,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Ashley Assisted Living,100 McIntosh Avenue,Ashley,North Dakota,ND,58136,McIntosh,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2300,North Dakota Department of Health and Human Services
Watford City Assisted Living,100 McKenzie Avenue,Watford City,North Dakota,ND,58137,McKenzie,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Watford City Memory Care,110 McKenzie Avenue,Watford City,North Dakota,ND,58138,McKenzie,(702) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",2800,North Dakota Department of Health and Human Services
Washburn Assisted Living,100 McLean Avenue,Washburn,North Dakota,ND,58139,McLean,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Beulah Assisted Living,100 Mercer Avenue,Beulah,North Dakota,ND,58140,Mercer,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2500,North Dakota Department of Health and Human Services
Beulah Memory Care,110 Mercer Avenue,Beulah,North Dakota,ND,58141,Mercer,(702) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",2500,North Dakota Department of Health and Human Services
Stanley Assisted Living,100 Mountrail Avenue,Stanley,North Dakota,ND,58142,Mountrail,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2600,North Dakota Department of Health and Human Services
Lakota Assisted Living,100 Nelson Avenue,Lakota,North Dakota,ND,58143,Nelson,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2300,North Dakota Department of Health and Human Services
Center Assisted Living,100 Oliver Avenue,Center,North Dakota,ND,58144,Oliver,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Cavalier Assisted Living,100 Pembina Avenue,Cavalier,North Dakota,ND,58145,Pembina,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Rugby Assisted Living,100 Pierce Avenue,Rugby,North Dakota,ND,58146,Pierce,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Devils Lake Assisted Living,100 Ramsey Avenue,Devils Lake,North Dakota,ND,58147,Ramsey,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2500,North Dakota Department of Health and Human Services
Devils Lake Memory Care,110 Ramsey Avenue,Devils Lake,North Dakota,ND,58148,Ramsey,(702) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",2500,North Dakota Department of Health and Human Services
Devils Lake Skilled Nursing,120 Ramsey Avenue,Devils Lake,North Dakota,ND,58149,Ramsey,(703) 202-1002,Senior Living,"['Assisted Living', 'Independent Living']",2500,North Dakota Department of Health and Human Services
Lisbon Assisted Living,100 Ransom Avenue,Lisbon,North Dakota,ND,58150,Ransom,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Mohall Assisted Living,100 Renville Avenue,Mohall,North Dakota,ND,58151,Renville,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Rolla Assisted Living,100 Rolette Avenue,Rolla,North Dakota,ND,58152,Rolette,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2300,North Dakota Department of Health and Human Services
Forman Assisted Living,100 Sargent Avenue,Forman,North Dakota,ND,58153,Sargent,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
McClusky Assisted Living,100 Sheridan Avenue,McClusky,North Dakota,ND,58154,Sheridan,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2300,North Dakota Department of Health and Human Services
Fort Yates Assisted Living,100 Sioux Avenue,Fort Yates,North Dakota,ND,58155,Sioux,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2200,North Dakota Department of Health and Human Services
Amidon Assisted Living,100 Slope Avenue,Amidon,North Dakota,ND,58156,Slope,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2300,North Dakota Department of Health and Human Services
Finley Assisted Living,100 Steele Avenue,Finley,North Dakota,ND,58157,Steele,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Cando Assisted Living,100 Towner Avenue,Cando,North Dakota,ND,58158,Towner,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2300,North Dakota Department of Health and Human Services
Hillsboro Assisted Living,100 Traill Avenue,Hillsboro,North Dakota,ND,58159,Traill,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2400,North Dakota Department of Health and Human Services
Grafton Assisted Living,100 Walsh Avenue,Grafton,North Dakota,ND,58160,Walsh,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2500,North Dakota Department of Health and Human Services
Grafton Memory Care,110 Walsh Avenue,Grafton,North Dakota,ND,58161,Walsh,(702) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",2500,North Dakota Department of Health and Human Services
Fessenden Assisted Living,100 Wells Avenue,Fessenden,North Dakota,ND,58162,Wells,(701) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2300,North Dakota Department of Health and Human Services
